a_level	b_level	c_level	description	ko_number
Environmental Information Processing	Membrane transport	ABC transporters	vraF; cationic antimicrobial peptide transport system ATP-binding protein	K19079
Environmental Information Processing	Membrane transport	ABC transporters	nosY; Cu-processing system permease protein	K19341
Environmental Information Processing	Membrane transport	ABC transporters	nosF; Cu-processing system ATP-binding protein	K19340
Environmental Information Processing	Membrane transport	ABC transporters	ftsX; cell division transport system permease protein	K09811
Environmental Information Processing	Membrane transport	ABC transporters	ftsE; cell division transport system ATP-binding protein	K09812
Environmental Information Processing	Membrane transport	ABC transporters	ytrF; acetoin utilization transport system permease protein	K16918
Environmental Information Processing	Membrane transport	ABC transporters	ytrC_D; acetoin utilization transport system permease protein	K16919
Environmental Information Processing	Membrane transport	ABC transporters	ytrB; acetoin utilization transport system ATP-binding protein	K16921
Environmental Information Processing	Membrane transport	ABC transporters	ytrE; acetoin utilization transport system ATP-binding protein	K16920
Environmental Information Processing	Membrane transport	ABC transporters	ABCA1; ATP-binding cassette, subfamily A (ABC1), member 1	K05641
Environmental Information Processing	Membrane transport	ABC transporters	ABCA2; ATP-binding cassette, subfamily A (ABC1), member 2	K05642
Environmental Information Processing	Membrane transport	ABC transporters	ABCA3; ATP-binding cassette, subfamily A (ABC1), member 3	K05643
Environmental Information Processing	Membrane transport	ABC transporters	ABCA4; ATP-binding cassette, subfamily A (ABC1), member 4	K05644
Environmental Information Processing	Membrane transport	ABC transporters	ABCA7; ATP-binding cassette, subfamily A (ABC1), member 7	K05645
Environmental Information Processing	Membrane transport	ABC transporters	ABCA12; ATP-binding cassette, subfamily A (ABC1), member 12	K05646
Environmental Information Processing	Membrane transport	ABC transporters	ABCA13; ATP binding cassette, subfamily A (ABC1), member 13	K05647
Environmental Information Processing	Membrane transport	ABC transporters	ABCA5; ATP-binding cassette, subfamily A (ABC1), member 5	K05648
Environmental Information Processing	Membrane transport	ABC transporters	ABCA6; ATP-binding cassette, subfamily A (ABC1), member 6	K05649
Environmental Information Processing	Membrane transport	ABC transporters	ABCA8; ATP-binding cassette, subfamily A (ABC1), member 8	K05650
Environmental Information Processing	Membrane transport	ABC transporters	ABCA9; ATP-binding cassette, subfamily A (ABC1), member 9	K05651
Environmental Information Processing	Membrane transport	ABC transporters	ABCA10; ATP-binding cassette, subfamily A (ABC1), member 10	K05652
Environmental Information Processing	Membrane transport	ABC transporters	ABCB2, TAP1; ATP-binding cassette, subfamily B (MDR/TAP), member 2	K05653
Environmental Information Processing	Membrane transport	ABC transporters	ABCB3, TAP2; ATP-binding cassette, subfamily B (MDR/TAP), member 3	K05654
Environmental Information Processing	Membrane transport	ABC transporters	ABCB8; ATP-binding cassette, subfamily B (MDR/TAP), member 8	K05655
Environmental Information Processing	Membrane transport	ABC transporters	ABCB9, TAPL; ATP-binding cassette, subfamily B (MDR/TAP), member 9	K05656
Environmental Information Processing	Membrane transport	ABC transporters	ABCB10; ATP-binding cassette, subfamily B (MDR/TAP), member 10	K05657
Environmental Information Processing	Membrane transport	ABC transporters	ABCB1, CD243; ATP-binding cassette, subfamily B (MDR/TAP), member 1	K05658
Environmental Information Processing	Membrane transport	ABC transporters	ABCB4; ATP-binding cassette, subfamily B (MDR/TAP), member 4	K05659
Environmental Information Processing	Membrane transport	ABC transporters	ABCB5; ATP-binding cassette, subfamily B (MDR/TAP), member 5	K05660
Environmental Information Processing	Membrane transport	ABC transporters	ABCB6; ATP-binding cassette, subfamily B (MDR/TAP), member 6	K05661
Environmental Information Processing	Membrane transport	ABC transporters	ABCB7; ATP-binding cassette, subfamily B (MDR/TAP), member 7	K05662
Environmental Information Processing	Membrane transport	ABC transporters	ATM; ATP-binding cassette, subfamily B, mitochondrial transporter ATM	K05663
Environmental Information Processing	Membrane transport	ABC transporters	ABCB11; ATP-binding cassette, subfamily B (MDR/TAP), member 11	K05664
Environmental Information Processing	Membrane transport	ABC transporters	irtA; ATP-binding cassette, subfamily B, bacterial IrtA	K14698
Environmental Information Processing	Membrane transport	ABC transporters	irtB; ATP-binding cassette, subfamily B, bacterial IrtB	K14699
Environmental Information Processing	Membrane transport	ABC transporters	msbA; ATP-binding cassette, subfamily B, bacterial MsbA	K11085
Environmental Information Processing	Membrane transport	ABC transporters	mdlA, smdA; ATP-binding cassette, subfamily B, multidrug efflux pump	K18889
Environmental Information Processing	Membrane transport	ABC transporters	mdlB, smdB; ATP-binding cassette, subfamily B, multidrug efflux pump	K18890
Environmental Information Processing	Membrane transport	ABC transporters	K18894; ATP-binding cassette, subfamily B, multidrug efflux pump	K18894
Environmental Information Processing	Membrane transport	ABC transporters	iroC; ATP-binding cassette, subfamily B, salmochelin/enterobactin exporter	K18895
Environmental Information Processing	Membrane transport	ABC transporters	hlyB, cyaB; ATP-binding cassette, subfamily B, bacterial HlyB/CyaB	K11004
Environmental Information Processing	Membrane transport	ABC transporters	raxB, cvaB; ATP-binding cassette, subfamily B, bacterial RaxB	K13409
Environmental Information Processing	Membrane transport	ABC transporters	cylB; ATP-binding cassette, subfamily B, bacterial CylB	K20386
Environmental Information Processing	Membrane transport	ABC transporters	abcA, bmrA; ATP-binding cassette, subfamily B, bacterial AbcA/BmrA	K18104
Environmental Information Processing	Membrane transport	ABC transporters	patA, rscA, lmrC, satA; ATP-binding cassette, subfamily B, multidrug efflux pump	K18891
Environmental Information Processing	Membrane transport	ABC transporters	patB, rscB, lmrC, satB; ATP-binding cassette, subfamily B, multidrug efflux pump	K18892
Environmental Information Processing	Membrane transport	ABC transporters	steA, tetA46; ATP-binding cassette, subfamily B, tetracycline resistant protein	K18216
Environmental Information Processing	Membrane transport	ABC transporters	steB, tetB46; ATP-binding cassette, subfamily B, tetracycline resistant protein	K18217
Environmental Information Processing	Membrane transport	ABC transporters	vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump	K18893
Environmental Information Processing	Membrane transport	ABC transporters	efrA; ATP-binding cassette, subfamily B, multidrug efflux pump	K18887
Environmental Information Processing	Membrane transport	ABC transporters	efrB; ATP-binding cassette, subfamily B, multidrug efflux pump	K18888
Environmental Information Processing	Membrane transport	ABC transporters	ABCC1; ATP-binding cassette, subfamily C (CFTR/MRP), member 1	K05665
Environmental Information Processing	Membrane transport	ABC transporters	ABCC2; ATP-binding cassette, subfamily C (CFTR/MRP), member 2	K05666
Environmental Information Processing	Membrane transport	ABC transporters	ABCC3; ATP-binding cassette, subfamily C (CFTR/MRP), member 3	K05667
Environmental Information Processing	Membrane transport	ABC transporters	ABCC4; ATP-binding cassette, subfamily C (CFTR/MRP), member 4	K05673
Environmental Information Processing	Membrane transport	ABC transporters	ABCC5; ATP-binding cassette, subfamily C (CFTR/MRP), member 5	K05668
Environmental Information Processing	Membrane transport	ABC transporters	ABCC6; ATP-binding cassette, subfamily C (CFTR/MRP), member 6	K05669
Environmental Information Processing	Membrane transport	ABC transporters	ABCC10; ATP-binding cassette, subfamily C (CFTR/MRP), member 10	K05674
Environmental Information Processing	Membrane transport	ABC transporters	ABCC11; ATP-binding cassette, subfamily C (CFTR/MRP), member 11	K05671
Environmental Information Processing	Membrane transport	ABC transporters	ABCC12; ATP-binding cassette, subfamily C (CFTR/MRP), member 12	K05672
Environmental Information Processing	Membrane transport	ABC transporters	ABCC13; ATP-binding cassette, subfamily C (CFTR/MRP), member 13	K05670
Environmental Information Processing	Membrane transport	ABC transporters	CFTR, ABCC7; cystic fibrosis transmembrane conductance regulator	K05031
Environmental Information Processing	Membrane transport	ABC transporters	ABCC8, SUR1; ATP-binding cassette subfamily C (CFTR/MRP) member 8	K05032
Environmental Information Processing	Membrane transport	ABC transporters	ABCC9, SUR2; ATP-binding cassette subfamily C (CFTR/MRP) member 9	K05033
Environmental Information Processing	Membrane transport	ABC transporters	lapB; ATP-binding cassette, subfamily C, bacterial LapB	K12541
Environmental Information Processing	Membrane transport	ABC transporters	hasD, prtD, aprD; ATP-binding cassette, subfamily C, bacterial exporter for protease/lipase	K12536
Environmental Information Processing	Membrane transport	ABC transporters	prsD; ATP-binding cassette, subfamily C, bacterial PrsD	K12539
Environmental Information Processing	Membrane transport	ABC transporters	rsaD; ATP-binding cassette, subfamily C, bacterial RsaD	K12533
Environmental Information Processing	Membrane transport	ABC transporters	eexD; ATP-binding cassette, subfamily C, bacterial EexD	K16299
Environmental Information Processing	Membrane transport	ABC transporters	comA; ATP-binding cassette, subfamily C, bacterial, competence factor transporting protein	K12292
Environmental Information Processing	Membrane transport	ABC transporters	blpA, lagD; ATP-binding cassette, subfamily C, bacteriocin exporter	K20344
Environmental Information Processing	Membrane transport	ABC transporters	cydC; ATP-binding cassette, subfamily C, bacterial CydC	K16012
Environmental Information Processing	Membrane transport	ABC transporters	cydD; ATP-binding cassette, subfamily C, bacterial CydD	K16013
Environmental Information Processing	Membrane transport	ABC transporters	cydCD; ATP-binding cassette, subfamily C, bacterial CydCD	K16014
Environmental Information Processing	Membrane transport	ABC transporters	ABCD1, ALD; ATP-binding cassette, subfamily D (ALD), member 1	K05675
Environmental Information Processing	Membrane transport	ABC transporters	ABCD2, ALDL1; ATP-binding cassette, subfamily D (ALD), member 2	K05676
Environmental Information Processing	Membrane transport	ABC transporters	ABCD3, PMP70; ATP-binding cassette, subfamily D (ALD), member 3	K05677
Environmental Information Processing	Membrane transport	ABC transporters	ABCD4, PXMP1L; ATP-binding cassette, subfamily D (ALD), member 4	K05678
Environmental Information Processing	Membrane transport	ABC transporters	PXA; ATP-binding cassette, subfamily D (ALD), peroxisomal long-chain fatty acid import protein	K15628
Environmental Information Processing	Membrane transport	ABC transporters	ABCG1; ATP-binding cassette, subfamily G (WHITE), member 1	K05679
Environmental Information Processing	Membrane transport	ABC transporters	ABCG4; ATP-binding cassette, subfamily G (WHITE), member 4	K05680
Environmental Information Processing	Membrane transport	ABC transporters	ABCG2, CD338; ATP-binding cassette, subfamily G (WHITE), member 2	K05681
Environmental Information Processing	Membrane transport	ABC transporters	ABCG2.PDR, CDR1; ATP-binding cassette, subfamily G (WHITE), member 2, PDR	K08711
Environmental Information Processing	Membrane transport	ABC transporters	ABCG2.SNQ2; ATP-binding cassette, subfamily G (WHITE), member 2, SNQ2	K08712
Environmental Information Processing	Membrane transport	ABC transporters	ABCG3, Mxr2, Abcp2; ATP-binding cassette, subfamily G (WHITE), member 3	K05682
Environmental Information Processing	Membrane transport	ABC transporters	ABCG5; ATP-binding cassette, subfamily G (WHITE), member 5 (sterolin 1)	K05683
Environmental Information Processing	Membrane transport	ABC transporters	ABCG8; ATP-binding cassette, subfamily G (WHITE), member 8 (sterolin 2)	K05684
Environmental Information Processing	Membrane transport	ABC transporters	macB; macrolide transport system ATP-binding/permease protein	K05685
Environmental Information Processing	Membrane transport	ABC transporters	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein	K18230
Environmental Information Processing	Membrane transport	ABC transporters	msrA, vmlR; macrolide transport system ATP-binding/permease protein	K18231
Environmental Information Processing	Membrane transport	ABC transporters	vga; pleuromutilin/lincosamide/streptogramin A transport system ATP-binding/permease protein	K19349
Environmental Information Processing	Membrane transport	ABC transporters	lsa; lincosamide and streptogramin A transport system ATP-binding/permease protein	K19350
Environmental Information Processing	Membrane transport	ABC transporters	yojI; multidrug/microcin transport system ATP-binding/permease protein	K06159
Environmental Information Processing	Membrane transport	ABC transporters	pvdE; putative pyoverdin transport system ATP-binding/permease protein	K06160
Environmental Information Processing	Membrane transport	ABC transporters	syrD; putative syringomycin transport system ATP-binding/permease protein	K06161
Environmental Information Processing	Membrane transport	ABC transporters	bacA; vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein	K02471
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	ptsI; phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	K08483
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	ptsH; phosphocarrier protein HPr	K02784
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	bglF, bglP; beta-glucoside PTS system EIICBA component	K02757
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	mngA, hrsA; 2-O-A-mannosyl-D-glycerate PTS system EIIABC component	K11200
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	gfrA; fructoselysine/glucoselysine PTS system EIIA component	K19506
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	gfrB; fructoselysine/glucoselysine PTS system EIIB component	K19507
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	gfrC; fructoselysine/glucoselysine PTS system EIIC component	K19508
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	gfrD; fructoselysine/glucoselysine PTS system EIID component	K19509
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	gatA; galactose PTS system EIIA component	K20112
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	gatB; galactose PTS system EIIB component	K20113
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	gatC; galactose PTS system EIIC component	K20114
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	fruB, fpr; multiphosphoryl transfer protein	K11183
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	fruB; multiphosphoryl transfer protein	K23993
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	ptsP; phosphotransferase system, enzyme I, PtsP	K08484
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	ptsO, npr; phosphocarrier protein NPr	K08485
Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	ptsN; nitrogen PTS system EIIA component	K02806
Environmental Information Processing	Membrane transport	Bacterial secretion system	tolC; outer membrane protein	K12340
Environmental Information Processing	Membrane transport	Bacterial secretion system	hlyD, cyaD; hemolysin D	K11003
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscF, sctF, ssaG, prgI; type III secretion protein F	K03221
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscO, sctO; type III secretion protein O	K04056
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscP, sctP; type III secretion protein P	K04057
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscX, sctX; type III secretion protein X	K04059
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscC, sctC, ssaC; type III secretion protein C	K03219
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscW, sctW; type III secretion protein W	K04058
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscJ, sctJ, hrcJ, ssaJ; type III secretion protein J	K03222
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscR, sctR, hrcR, ssaR; type III secretion protein R	K03226
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscS, sctS, hrcS, ssaS; type III secretion protein S	K03227
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscT, sctT, hrcT, ssaT; type III secretion protein T	K03228
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscU, sctU, hrcU, ssaU; type III secretion protein U	K03229
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscV, sctV, hrcV, ssaV, invA; type III secretion protein V	K03230
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscN, sctN, hrcN, ssaN; ATP synthase in type III secretion protein N	K03224
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscQ, sctQ, hrcQ, ssaQ, spaO; type III secretion protein Q	K03225
Environmental Information Processing	Membrane transport	Bacterial secretion system	yscL, sctL; type III secretion protein L	K03223
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspD; general secretion pathway protein D	K02453
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspS; general secretion pathway protein S	K02465
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspC; general secretion pathway protein C	K02452
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspF; general secretion pathway protein F	K02455
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspG; general secretion pathway protein G	K02456
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspH; general secretion pathway protein H	K02457
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspI; general secretion pathway protein I	K02458
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspJ; general secretion pathway protein J	K02459
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspK; general secretion pathway protein K	K02460
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspL; general secretion pathway protein L	K02461
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspM; general secretion pathway protein M	K02462
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspE; general secretion pathway protein E	K02454
Environmental Information Processing	Membrane transport	Bacterial secretion system	gspO; general secretion pathway protein O	K02464
Environmental Information Processing	Membrane transport	Bacterial secretion system	vacA; vacuolating cytotoxin	K11028
Environmental Information Processing	Membrane transport	Bacterial secretion system	shlB, hhdB, hpmB; hemolysin activation/secretion protein	K11017
Environmental Information Processing	Membrane transport	Bacterial secretion system	shlA, hhdA, hpmA; hemolysin	K11016
Environmental Information Processing	Membrane transport	Bacterial secretion system	yadA; adhesin YadA	K12341
Environmental Information Processing	Membrane transport	Bacterial secretion system	yadB_C; adhesin YadB/C	K12342
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB1; type IV secretion system protein VirB1	K03194
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB2, lvhB2; type IV secretion system protein VirB2	K03197
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB3, lvhB3; type IV secretion system protein VirB3	K03198
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB5, lvhB5; type IV secretion system protein VirB5	K03200
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB7, lvhB7; type IV secretion system protein VirB7	K03202
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB9, lvhB9; type IV secretion system protein VirB9	K03204
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB6, lvhB6; type IV secretion system protein VirB6	K03201
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB8, lvhB8; type IV secretion system protein VirB8	K03203
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB10, lvhB10; type IV secretion system protein VirB10	K03195
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB4, lvhB4; type IV secretion system protein VirB4	K03199
Environmental Information Processing	Membrane transport	Bacterial secretion system	virB11, lvhB11; type IV secretion system protein VirB11	K03196
Environmental Information Processing	Membrane transport	Bacterial secretion system	virD4, lvhD4; type IV secretion system protein VirD4	K03205
Environmental Information Processing	Membrane transport	Bacterial secretion system	vgrG; type VI secretion system secreted protein VgrG	K11904
Environmental Information Processing	Membrane transport	Bacterial secretion system	hcp; type VI secretion system secreted protein Hcp	K11903
Environmental Information Processing	Membrane transport	Bacterial secretion system	vasD, lip; type VI secretion system protein VasD	K11906
Environmental Information Processing	Membrane transport	Bacterial secretion system	impL, vasK, icmF; type VI secretion system protein ImpL	K11891
Environmental Information Processing	Membrane transport	Bacterial secretion system	impK, ompA, vasF, dotU; type VI secretion system protein ImpK	K11892
Environmental Information Processing	Membrane transport	Bacterial secretion system	vasG, clpV; type VI secretion system protein VasG	K11907
Environmental Information Processing	Membrane transport	Bacterial secretion system	ppkA; serine/threonine-protein kinase PpkA	K11912
Environmental Information Processing	Membrane transport	Bacterial secretion system	fha1; type VI secretion system protein	K11913
Environmental Information Processing	Membrane transport	Bacterial secretion system	stp1, pppA; serine/threonine protein phosphatase Stp1	K11915
Environmental Information Processing	Signal transduction	Two-component system	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	K07636
Environmental Information Processing	Signal transduction	Two-component system	phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB	K07657
Environmental Information Processing	Signal transduction	Two-component system	phoB1, phoP; two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP	K07658
Environmental Information Processing	Signal transduction	Two-component system	senX3; two-component system, OmpR family, sensor histidine kinase SenX3	K07768
Environmental Information Processing	Signal transduction	Two-component system	regX3; two-component system, OmpR family, response regulator RegX3	K07776
Environmental Information Processing	Signal transduction	Two-component system	phoQ; two-component system, OmpR family, sensor histidine kinase PhoQ	K07637
Environmental Information Processing	Signal transduction	Two-component system	phoP; two-component system, OmpR family, response regulator PhoP	K07660
Environmental Information Processing	Signal transduction	Two-component system	pagC; putatice virulence related protein PagC	K07804
Environmental Information Processing	Signal transduction	Two-component system	pagO; putative membrane protein PagO	K07790
Environmental Information Processing	Signal transduction	Two-component system	pagD; putative membrane protein PagD	K07805
Environmental Information Processing	Signal transduction	Two-component system	pagK; PhoPQ-activated protein	K07801
Environmental Information Processing	Signal transduction	Two-component system	pgtE; outer membrane protease E	K08477
Environmental Information Processing	Signal transduction	Two-component system	envZ; two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ	K07638
Environmental Information Processing	Signal transduction	Two-component system	ompR; two-component system, OmpR family, phosphate regulon response regulator OmpR	K07659
Environmental Information Processing	Signal transduction	Two-component system	ompC; outer membrane pore protein C	K09475
Environmental Information Processing	Signal transduction	Two-component system	ompF; outer membrane pore protein F	K09476
Environmental Information Processing	Signal transduction	Two-component system	rstB; two-component system, OmpR family, sensor histidine kinase RstB	K07639
Environmental Information Processing	Signal transduction	Two-component system	rstA; two-component system, OmpR family, response regulator RstA	K07661
Environmental Information Processing	Signal transduction	Two-component system	cpxA; two-component system, OmpR family, sensor histidine kinase CpxA	K07640
Environmental Information Processing	Signal transduction	Two-component system	cpxR; two-component system, OmpR family, response regulator CpxR	K07662
Environmental Information Processing	Signal transduction	Two-component system	degP, htrA; serine protease Do	K04771
Environmental Information Processing	Signal transduction	Two-component system	cssS; two-component system, OmpR family, sensor histidine kinase CssS	K07650
Environmental Information Processing	Signal transduction	Two-component system	cssR; two-component system, OmpR family, response regulator CssR	K07770
Environmental Information Processing	Signal transduction	Two-component system	creC; two-component system, OmpR family, sensor histidine kinase CreC	K07641
Environmental Information Processing	Signal transduction	Two-component system	creB; two-component system, OmpR family, catabolic regulation response regulator CreB	K07663
Environmental Information Processing	Signal transduction	Two-component system	baeS, smeS; two-component system, OmpR family, sensor histidine kinase BaeS	K07642
Environmental Information Processing	Signal transduction	Two-component system	baeR, smeR; two-component system, OmpR family, response regulator BaeR	K07664
Environmental Information Processing	Signal transduction	Two-component system	mdtA; membrane fusion protein, multidrug efflux system	K07799
Environmental Information Processing	Signal transduction	Two-component system	mdtB; multidrug efflux pump	K07788
Environmental Information Processing	Signal transduction	Two-component system	mdtC; multidrug efflux pump	K07789
Environmental Information Processing	Signal transduction	Two-component system	mdtD; MFS transporter, DHA2 family, multidrug resistance protein	K18326
Environmental Information Processing	Signal transduction	Two-component system	smeA; membrane fusion protein, multidrug efflux system	K18321
Environmental Information Processing	Signal transduction	Two-component system	smeB; multidrug efflux pump	K18322
Environmental Information Processing	Signal transduction	Two-component system	smeC; outer membrane protein, multidrug efflux system	K18323
Environmental Information Processing	Signal transduction	Two-component system	acrD; multidrug efflux pump	K18324
Environmental Information Processing	Signal transduction	Two-component system	basS; two-component system, OmpR family, sensor histidine kinase BasS	K07643
Environmental Information Processing	Signal transduction	Two-component system	basR; two-component system, OmpR family, response regulator BasR	K07771
Environmental Information Processing	Signal transduction	Two-component system	cusS, copS, silS; two-component system, OmpR family, heavy metal sensor histidine kinase CusS	K07644
Environmental Information Processing	Signal transduction	Two-component system	cusR, copR, silR; two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR	K07665
Environmental Information Processing	Signal transduction	Two-component system	cusC, silC; outer membrane protein, copper/silver efflux system	K07796
Environmental Information Processing	Signal transduction	Two-component system	cusF; Cu(I)/Ag(I) efflux system periplasmic protein CusF	K07810
Environmental Information Processing	Signal transduction	Two-component system	cusB, silB; membrane fusion protein, copper/silver efflux system	K07798
Environmental Information Processing	Signal transduction	Two-component system	cusA, silA; copper/silver efflux system protein	K07787
Environmental Information Processing	Signal transduction	Two-component system	qseC; two-component system, OmpR family, sensor histidine kinase QseC	K07645
Environmental Information Processing	Signal transduction	Two-component system	qseB; two-component system, OmpR family, response regulator QseB	K07666
Environmental Information Processing	Signal transduction	Two-component system	flhD; flagellar transcriptional activator FlhD	K02403
Environmental Information Processing	Signal transduction	Two-component system	flhC; flagellar transcriptional activator FlhC	K02402
Environmental Information Processing	Signal transduction	Two-component system	fliC, hag; flagellin	K02406
Environmental Information Processing	Signal transduction	Two-component system	fliA, whiG; RNA polymerase sigma factor FliA	K02405
Environmental Information Processing	Signal transduction	Two-component system	motA; chemotaxis protein MotA	K02556
Environmental Information Processing	Signal transduction	Two-component system	kdpD; two-component system, OmpR family, sensor histidine kinase KdpD	K07646
Environmental Information Processing	Signal transduction	Two-component system	kdpE; two-component system, OmpR family, KDP operon response regulator KdpE	K07667
Environmental Information Processing	Signal transduction	Two-component system	kdpA; potassium-transporting ATPase potassium-binding subunit	K01546
Environmental Information Processing	Signal transduction	Two-component system	kdpB; potassium-transporting ATPase ATP-binding subunit	K01547
Environmental Information Processing	Signal transduction	Two-component system	kdpC; potassium-transporting ATPase KdpC subunit	K01548
Environmental Information Processing	Signal transduction	Two-component system	kdpF; potassium-transporting ATPase KdpF subunit	K01545
Environmental Information Processing	Signal transduction	Two-component system	torS; two-component system, OmpR family, sensor histidine kinase TorS	K07647
Environmental Information Processing	Signal transduction	Two-component system	torR; two-component system, OmpR family, torCAD operon response regulator TorR	K07772
Environmental Information Processing	Signal transduction	Two-component system	arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB	K07648
Environmental Information Processing	Signal transduction	Two-component system	arcA; two-component system, OmpR family, aerobic respiration control protein ArcA	K07773
Environmental Information Processing	Signal transduction	Two-component system	tctE; two-component system, OmpR family, sensor histidine kinase TctE	K07649
Environmental Information Processing	Signal transduction	Two-component system	tctD; two-component system, OmpR family, response regulator TctD	K07774
Environmental Information Processing	Signal transduction	Two-component system	tctA; putative tricarboxylic transport membrane protein	K07793
Environmental Information Processing	Signal transduction	Two-component system	tctB; putative tricarboxylic transport membrane protein	K07794
Environmental Information Processing	Signal transduction	Two-component system	tctC; putative tricarboxylic transport membrane protein	K07795
Environmental Information Processing	Signal transduction	Two-component system	resE; two-component system, OmpR family, sensor histidine kinase ResE	K07651
Environmental Information Processing	Signal transduction	Two-component system	resD; two-component system, OmpR family, response regulator ResD	K07775
Environmental Information Processing	Signal transduction	Two-component system	vicK; two-component system, OmpR family, sensor histidine kinase VicK	K07652
Environmental Information Processing	Signal transduction	Two-component system	vicR; two-component system, OmpR family, response regulator VicR	K07668
Environmental Information Processing	Signal transduction	Two-component system	mprB; two-component system, OmpR family, sensor histidine kinase MprB	K07653
Environmental Information Processing	Signal transduction	Two-component system	mprA; two-component system, OmpR family, response regulator MprA	K07669
Environmental Information Processing	Signal transduction	Two-component system	pepD; putative serine protease PepD	K08372
Environmental Information Processing	Signal transduction	Two-component system	mtrB; two-component system, OmpR family, sensor histidine kinase MtrB	K07654
Environmental Information Processing	Signal transduction	Two-component system	mtrA; two-component system, OmpR family, response regulator MtrA	K07670
Environmental Information Processing	Signal transduction	Two-component system	dnaA; chromosomal replication initiator protein	K02313
Environmental Information Processing	Signal transduction	Two-component system	prrB; two-component system, OmpR family, sensor histidine kinase PrrB	K07655
Environmental Information Processing	Signal transduction	Two-component system	prrA; two-component system, OmpR family, response regulator PrrA	K07671
Environmental Information Processing	Signal transduction	Two-component system	trcS; two-component system, OmpR family, sensor histidine kinase TrcS	K07656
Environmental Information Processing	Signal transduction	Two-component system	trcR; two-component system, OmpR family, response regulator TrcR	K07672
Environmental Information Processing	Signal transduction	Two-component system	nrsS, rppB; two-component system, OmpR family, Ni(II)-sensor and/or redox sensor kinase NrsS	K11328
Environmental Information Processing	Signal transduction	Two-component system	nrsR, rppA; two-component system, OmpR family, Ni(II)-responsive and/or redox-responsive regulator NrsR	K11330
Environmental Information Processing	Signal transduction	Two-component system	nrsB; membrane fusion protein, cation efflux system	K11327
